Source;Target;Type
75;76;Undirected
76;77;Undirected
77;78;Undirected
77;80;Undirected
78;79;Undirected
80;81;Undirected
80;85;Undirected
81;82;Undirected
81;92;Undirected
82;83;Undirected
84;83;Undirected
84;87;Undirected
85;84;Undirected
86;84;Undirected
87;88;Undirected
88;89;Undirected
89;90;Undirected
90;91;Undirected
91;82;Undirected
91;103;Undirected
91;104;Undirected
92;93;Undirected
93;94;Undirected
93;99;Undirected
94;95;Undirected
95;96;Undirected
96;97;Undirected
97;98;Undirected
99;91;Undirected
99;100;Undirected
100;138;Undirected
101;100;Undirected
101;102;Undirected
101;121;Undirected
102;120;Undirected
103;102;Undirected
104;101;Undirected
105;102;Undirected
105;107;Undirected
105;116;Undirected
106;105;Undirected
107;108;Undirected
108;109;Undirected
109;110;Undirected
110;107;Undirected
111;110;Undirected
111;112;Undirected
112;113;Undirected
113;114;Undirected
114;115;Undirected
115;112;Undirected
116;117;Undirected
117;118;Undirected
118;119;Undirected
120;123;Undirected
121;120;Undirected
121;122;Undirected
121;130;Undirected
122;124;Undirected
123;122;Undirected
124;125;Undirected
125;126;Undirected
126;127;Undirected
127;128;Undirected
128;129;Undirected
129;130;Undirected
131;129;Undirected
132;131;Undirected
133;132;Undirected
134;135;Undirected
137;136;Undirected
138;137;Undirected
